slice file name,classID,class
static1_1709474892094955561.wav,1,static
static2_5168535091380376068.wav,1,static
static3_629061623454576212.wav,1,static
static4_4655223395091859780.wav,1,static
static5_6630346508114139405.wav,1,static
circle1_663940077963556024.wav,2,circle
circle2_8711738402602823380.wav,2,circle
circle3_5098496031049745608.wav,2,circle
circle4_4782666239772476026.wav,2,circle
circle5_6450377546190395184.wav,2,circle
ccircle1_4752099521021321706.wav,3,counter clockwise circle
ccircle2_6812063516267690574.wav,3,counter clockwise circle
ccircle3_3776451932779272240.wav,3,counter clockwise circle
ccircle4_5124321811800252872.wav,3,counter clockwise circle
ccircle5_8275468992935268318.wav,3,counter clockwise circle
upd1_7985034224824758017.wav,4,up down
upd2_6351305885394955649.wav,4,up down
upd3_1996184445635381363.wav,4,up down
upd4_2848678822746319114.wav,4,up down
upd5_7636158670578933126.wav,4,up down
ss1_3180207168973335571.wav,5,shaking
ss2_3915714508071941380.wav,5,shaking
ss3_7277359037193934157.wav,5,shaking
ss4_2515792695958205151.wav,5,shaking
ss5_7468778929123732424.wav,5,shaking
clogl1_9132284506595394494.wav,6,clog left
clogl2_611772288314503027.wav,6,clog left
clogl3_4327434061583540980.wav,6,clog left
clogl4_8272763173300073319.wav,6,clog left
clogl5_6832831893994199654.wav,6,clog left
clogr1_1398460488106276405.wav,7,clog right
clogr2_6324071144650273148.wav,7,clog right
clogr3_5400456473475701563.wav,7,clog right
clogr4_9107365516601007387.wav,7,clog right
clogr5_2049985464663926966.wav,7,clog right
