slice file name,classID,class
static 1_9178222162229323269.wav,1,static
static 2_4078748281670101868.wav,1,static
static 3_7598384045136679274.wav,1,static
static 4_6246768117683620741.wav,1,static
static 5_8769259942785288092.wav,1,static
static 6_8922722029868631012.wav,1,static
static 7_7355975401529701767.wav,1,static
static 8_8205597702138129722.wav,1,static
static 9_652191485222133491.wav,1,static
static 10_619229174254252517.wav,1,static
circle1.wav,2,circle
circle2.wav,2,circle
circle3.wav,2,circle
circle4.wav,2,circle
circle5.wav,2,circle
circle6.wav,2,circle
circle7.wav,2,circle
circle8.wav,2,circle
circle9.wav,2,circle
circle10.wav,2,circle
random_noddingp1_6426462762477217821.wav,3,random
random_noddingp2_2036335564986955279.wav,3,random
random_noddingp3_6687968344051065370.wav,3,random
random_noddingp4_7138053956616226820.wav,3,random
random_noddingp5_2433353168909411695.wav,3,random
random_noddingp6_8694260877712593849.wav,3,random
random_noddingp7_6111731436422027895.wav,3,random
random_noddingp8_9039173938886147024.wav,3,random
random_noddingp9_5459791263778983599.wav,3,random
random_noddingp10_3694881400479140745.wav,3,random
