slice file name,classID,class
static1_6664341771270495341.wav,1,static
static2_7588950161791274142.wav,1,static
static3_6248064297729464516.wav,1,static
static4_5752769004397675183.wav,1,static
static5_5274293778879758339.wav,1,static
static6_470647232742212569.wav,1,static
static7_1204764617161772994.wav,1,static
static8_3307091513075021901.wav,1,static
static9_5677164544933011014.wav,1,static
static10_320347585563374429.wav,1,static
static11_7308387734250049280.wav,1,static
static12_5871011011978511308.wav,1,static
static13_2406800774534051259.wav,1,static
static14_7993666481156093029.wav,1,static
static15_3985941416427564349.wav,1,static
static16_7026822181160731345.wav,1,static
static17_8311695010306347496.wav,1,static
static18_2294070570560082911.wav,1,static
static19_3068516503870658113.wav,1,static
static20_5556308175147462771.wav,1,static
circle1_7007120633834525611.wav,2,circle
circle2_4052823843636360754.wav,2,circle
circle3_8253691868917246198.wav,2,circle
circle4_3815219871118502627.wav,2,circle
circle5_477023049708299451.wav,2,circle
circle6_6087021968799461606.wav,2,circle
circle7_9008000314202806525.wav,2,circle
circle8_7684464202354388097.wav,2,circle
circle9_8993631362961822928.wav,2,circle
circle10_6416050433947336058.wav,2,circle
circle11_8249836262302385651.wav,2,circle
circle12_6751794377453196.wav,2,circle
circle13_7087493779991251819.wav,2,circle
circle14_9086747829565465544.wav,2,circle
circle15_1924013923741209364.wav,2,circle
circle16_5525430650434847991.wav,2,circle
circle17_1941439838810915358.wav,2,circle
circle18_63956935741915246.wav,2,circle
circle19_8388357564298743349.wav,2,circle
circle20_1545519297025597726.wav,2,circle
ccircle1_8522793049690172274.wav,3,counter circle
ccircle2_1378610795933889557.wav,3,counter circle
ccircle3_2833352928545667241.wav,3,counter circle
ccircle4_2031431552398006169.wav,3,counter circle
ccircle5_5507067617102606570.wav,3,counter circle
ccircle6_6419155843183554639.wav,3,counter circle
ccircle7_3930433135005390299.wav,3,counter circle
ccircle8_5435039242185866259.wav,3,counter circle
ccircle9_5225145591506611294.wav,3,counter circle
ccircle10_8854377449731522168.wav,3,counter circle
ccircle11_40863730183243640.wav,3,counter circle
ccircle12_7689358583128866150.wav,3,counter circle
ccircle13_5585969682053203916.wav,3,counter circle
ccircle14_8726355447195397930.wav,3,counter circle
ccircle15_2231321684679904980.wav,3,counter circle
ccircle16_5768239598008401068.wav,3,counter circle
ccircle17_3049624937053850269.wav,3,counter circle
ccircle18_8677626401476390757.wav,3,counter circle
ccircle19_4166587560090908651.wav,3,counter circle
ccircle20_1408645564850466106.wav,3,counter circle
